t,range,v_r_model,v_r_fd,diff
1762892819.4693174,1.352398626608341,0.013591923163810214,0.013595063126636251,-3.139962826036874e-06
1762892819.4746585,1.3525485301729734,0.012507841247306107,0.012504740419583254,3.1008277228527364e-06
1762892819.479546,1.352526533019865,-0.0016697169012279594,-0.0016695946781496687,-1.222230782906182e-07
1762892819.4843633,1.3525323270433542,0.00013924863722581337,0.0001391243148812065,1.243223446068724e-07
1762892819.490746,1.3525280912053985,-0.0015178402174055123,-0.0015178198823116865,-2.0335093825832318e-08
1762892819.4944232,1.3525170580280148,-0.0024673615710038904,-0.002467143397495696,-2.1817350819453712e-07
1762892819.4996977,1.352506006166736,0.0007184158441621363,0.000718667129198767,-2.512850366307405e-07
1762892819.504325,1.3525241740988916,0.006061326910074677,0.006061822628330422,-4.957182557453407e-07
1762892819.5094233,1.3525649608511496,0.0038578841814357156,0.0038570329059117543,8.512755239613486e-07
1762892819.5149963,1.352565333951834,-0.0019050600105289827,-0.0019041666673008104,-8.933432281723035e-07
1762892819.518998,1.352546729118497,-0.006413366358095317,-0.006414169091260987,8.027331656708034e-07
1762892819.5250711,1.3525007121353683,-0.004660223085654987,-0.004660216169597941,-6.916057046502111e-09
1762892819.5302649,1.352494222710872,-0.0005422565817076537,-0.0005422724091943455,1.582748669181743e-08
1762892819.5342412,1.3524957394673398,0.02340614617959149,0.023421254385541945,-1.5108205950454395e-05
1762892819.5391588,1.3527025305668592,0.016293149229830863,0.016282283910091885,1.0865319738977142e-05
1762892819.546596,1.3526969046552282,-0.0017113757553949842,-0.0017114232717502995,4.75163553152573e-08
1762892819.549379,1.3526850393260264,-0.007683693407012999,-0.007682576207916231,-1.11719909676785e-06
1762892819.5540452,1.3526396759920125,-0.011349192930088011,-0.01134209374826615,-7.099181821861381e-06
1762892819.5614116,1.3525485654826217,-0.02396880268887123,-0.023950229889353993,-1.857279951723509e-05
1762892819.56527,1.3523708407279995,-0.05506447507609793,-0.055034589933676194,-2.9885142421734456e-05
1762892819.5693543,1.3521114435360364,-0.05703057732318789,-0.057017406153490824,-1.3171169697068219e-05
1762892819.5747397,1.3518309002861502,-0.042522806637127195,-0.04253643749802706,1.3630860899865871e-05
1762892819.5814023,1.3515989642793855,-0.04034366983206726,-0.040379875838266736,3.6206006199475393e-05
1762892819.5844514,1.3514387413338196,-0.03291546261356834,-0.03291766849235717,2.20587878883155e-06
1762892819.5892982,1.3513390481299767,-0.017489067521096385,-0.01748089979730929,-8.167723787096126e-06
1762892819.5967407,1.3512239135626203,-0.0036611951770626205,-0.003609967953733275,-5.122722332934551e-05
1762892819.5994232,1.3513024974867494,0.02550055717806679,0.025710961550320065,-0.00021040437225327419
1762892819.604441,1.3514218932334288,0.0004078689779719244,0.0003168024083929993,9.106656957892509e-05
1762892819.6113884,1.3513062881146265,-0.02556788231809891,-0.025479708750687308,-8.817356741160076e-05
1762892819.6146646,1.3511613981927884,-0.07374699266185696,-0.07358585639617043,-0.00016113626568652062
1762892819.619237,1.3507287494319975,-0.060723869551935344,-0.06070121465245049,-2.265489948485161e-05
1762892819.6253068,1.3505153982561025,-0.04586589146013542,-0.045875724157670036,9.832697534614687e-06
1762892819.6297252,1.3502475923719894,-0.05448460236627942,-0.05432410681214095,-0.00016049555413846783
1762892819.6342478,1.3500296899408344,-0.046956666318739515,-0.046962981979192804,6.315660453289074e-06
1762892819.6412115,1.3497081618531688,-0.04970602290387909,-0.049633409155604,-7.261374827509381e-05
1762892819.6464398,1.3494245588764218,-0.07026027330847107,-0.07020566709662987,-5.460621184119607e-05
1762892819.649685,1.349113281413264,-0.04828442358514562,-0.047948862474418597,-0.0003355611107270229
1762892819.6551042,1.3490091122108527,-0.03576988292635434,-0.03591530190626616,0.00014541897991181968
1762892819.6617362,1.3486804537580783,-0.0705115874904772,-0.0705527697929417,4.118230246449861e-05
1762892819.665105,1.3483035179014025,-0.10091278486410526,-0.10083819398520906,-7.459087889620519e-05
1762892819.669057,1.3479422533924597,-0.07431972557138014,-0.07434807039357996,2.8344822199821706e-05
1762892819.6753514,1.34754172698848,-0.07602293217664621,-0.07599951348771475,-2.3418688931464704e-05
1762892819.6800556,1.3471063555757503,-0.10521075384266793,-0.10530505404020583,9.430019753790819e-05
